time/s,Ecell/V,Capacity/mA.h,cycle number,Q discharge/mA.h,Q charge/mA.h
16997.85080735455,3.2671332,0.2797340293526517,0.0,0.0,0.2797340293526517
17002.85080759204,3.2675269,0.2798384254027813,0.0,0.0,0.2798384254027813
17007.85080782953,3.2678421,0.2799428213239785,0.0,0.0,0.2799428213239785
17012.85080806701,3.268275,0.2800472168359898,0.0,0.0,0.2800472168359898
17017.8508083045,3.2686689,0.2801516124726907,0.0,0.0,0.2801516124726907
17022.85080854199,3.2690625,0.2802560081903671,0.0,0.0,0.2802560081903671
17027.85080877948,3.2694168,0.2803604038861635,0.0,0.0,0.2803604038861635
17032.85080901696,3.2698107,0.2804647999407261,0.0,0.0,0.2804647999407261
17037.85080925445,3.2702832,0.2805691954484781,0.0,0.0,0.2805691954484781
17042.85080949194,3.2707555,0.280673591123504,0.0,0.0,0.280673591123504
17047.85080972943,3.2711101,0.2807779869822364,0.0,0.0,0.2807779869822364
17052.85080996691,3.2714643,0.2808823829064883,0.0,0.0,0.2808823829064883
17057.8508102044,3.2719369,0.2809867788177887,0.0,0.0,0.2809867788177887
17062.85081044189,3.2722518,0.2810911746284523,0.0,0.0,0.2810911746284523
17067.85081067937,3.2726851,0.281195570574729,0.0,0.0,0.281195570574729
17072.85081091686,3.2730393,0.2812999665099706,0.0,0.0,0.2812999665099706
17077.85081115435,3.2734723,0.281404362399449,0.0,0.0,0.281404362399449
17082.85081139184,3.2739449,0.2815087580766314,0.0,0.0,0.2815087580766314
17087.85081162932,3.2744174,0.2816131539615898,0.0,0.0,0.2816131539615898
17092.85081186681,3.2747324,0.2817175496618939,0.0,0.0,0.2817175496618939
17097.8508121043,3.2750473,0.2818219453729764,0.0,0.0,0.2818219453729764
17102.85081234179,3.2754805,0.2819263410972258,0.0,0.0,0.2819263410972258
17107.85081257927,3.2759137,0.2820307368510209,0.0,0.0,0.2820307368510209
17112.85081281676,3.2763073,0.2821351327908073,0.0,0.0,0.2821351327908073
17117.85081305425,3.276701,0.2822395284451164,0.0,0.0,0.2822395284451164
17122.85081329173,3.2771735,0.2823439243869642,0.0,0.0,0.2823439243869642
17127.85081352922,3.2775674,0.2824483204370771,0.0,0.0,0.2824483204370771
17132.85081376671,3.277961,0.2825527161492813,0.0,0.0,0.2825527161492813
17137.8508140042,3.2783549,0.2826571119226839,0.0,0.0,0.2826571119226839
17142.85081424168,3.2787879,0.2827615076262124,0.0,0.0,0.2827615076262124
17147.85081447917,3.2791817,0.2828659032968714,0.0,0.0,0.2828659032968714
17152.85081471666,3.279654,0.2829702990397183,0.0,0.0,0.2829702990397183
17157.85081495414,3.2799692,0.2830746948722577,0.0,0.0,0.2830746948722577
17162.85081519163,3.2804022,0.283179090453162,0.0,0.0,0.283179090453162
17167.85081542912,3.2808354,0.2832834859532483,0.0,0.0,0.2832834859532483
17172.85081566661,3.281229,0.2833878815943616,0.0,0.0,0.2833878815943616
17177.85081590409,3.2816229,0.2834922772453759,0.0,0.0,0.2834922772453759
17182.85081614158,3.2820559,0.2835966728580528,0.0,0.0,0.2835966728580528
17187.85081637907,3.2824104,0.283701068747345,0.0,0.0,0.283701068747345
17192.85081661656,3.2828434,0.2838054645469736,0.0,0.0,0.2838054645469736
17197.85081685404,3.2832766,0.2839098602779409,0.0,0.0,0.2839098602779409
17202.85081709153,3.2836702,0.2840142559769659,0.0,0.0,0.2840142559769659
17207.85081732902,3.2840247,0.2841186520915512,0.0,0.0,0.2841186520915512
17212.8508175665,3.284497,0.2842230479153445,0.0,0.0,0.2842230479153445
17217.85081780399,3.2849302,0.2843274440398971,0.0,0.0,0.2843274440398971
17222.85081804148,3.2854421,0.2844318401436169,0.0,0.0,0.2844318401436169
17227.85081827897,3.2858357,0.2845362358230801,0.0,0.0,0.2845362358230801
17232.85081851645,3.2861114,0.2846406316763569,0.0,0.0,0.2846406316763569
17237.85081875394,3.2864659,0.2847450275329493,0.0,0.0,0.2847450275329493
17242.85081899143,3.2870171,0.2848494233010164,0.0,0.0,0.2848494233010164
17247.85081922892,3.2873714,0.2849538190198145,0.0,0.0,0.2849538190198145
17252.8508194664,3.2878439,0.2850582146859825,0.0,0.0,0.2850582146859825
17257.85081970389,3.2883558,0.2851626104080753,0.0,0.0,0.2851626104080753
17262.85081994138,3.2886708,0.2852670059004502,0.0,0.0,0.2852670059004502
17267.85082017886,3.2891037,0.2853714015733361,0.0,0.0,0.2853714015733361
17272.85082041635,3.2895763,0.2854757971487684,0.0,0.0,0.2854757971487684
17277.85082065384,3.2898912,0.285580192538375,0.0,0.0,0.285580192538375
17282.85082089133,3.2905214,0.2856845883862336,0.0,0.0,0.2856845883862336
17287.85082112881,3.290797,0.2857889843084573,0.0,0.0,0.2857889843084573
17292.8508213663,3.29123,0.2858933799671209,0.0,0.0,0.2858933799671209
17297.85082160379,3.2916632,0.2859977755229955,0.0,0.0,0.2859977755229955
17302.85082184128,3.2920175,0.2861021712418059,0.0,0.0,0.2861021712418059
17307.85082207876,3.2923717,0.2862065669342869,0.0,0.0,0.2862065669342869
17312.85082231625,3.2928836,0.2863109626398353,0.0,0.0,0.2863109626398353
17317.85082255374,3.2932775,0.2864153586363538,0.0,0.0,0.2864153586363538
17322.85082279122,3.2936711,0.2865197543792172,0.0,0.0,0.2865197543792172
17327.85082302871,3.2941043,0.2866241502631366,0.0,0.0,0.2866241502631366
17332.8508232662,3.2945375,0.2867285462859432,0.0,0.0,0.2867285462859432
17337.85082350369,3.2949705,0.2868329421763612,0.0,0.0,0.2868329421763612
17342.85082374117,3.2954824,0.2869373379192743,0.0,0.0,0.2869373379192743
17347.85082397866,3.2956793,0.2870417335855872,0.0,0.0,0.2870417335855872
17352.85082421615,3.2962699,0.2871461293262361,0.0,0.0,0.2871461293262361
17357.85082445364,3.2965455,0.2872505251686476,0.0,0.0,0.2872505251686476
17362.85082469112,3.2971754,0.2873549211279711,0.0,0.0,0.2873549211279711
17367.85082492861,3.297451,0.2874593168467608,0.0,0.0,0.2874593168467608
17372.8508251661,3.2979236,0.2875637125983911,0.0,0.0,0.2875637125983911
17377.85082540358,3.2983568,0.2876681084221348,0.0,0.0,0.2876681084221348
17382.85082564107,3.2988291,0.2877725042787106,0.0,0.0,0.2877725042787106
17387.85082587856,3.2992623,0.2878769000477628,0.0,0.0,0.2878769000477628
17392.85082611605,3.2995772,0.2879812957599878,0.0,0.0,0.2879812957599878
17397.85082635353,3.3000104,0.2880856920791784,0.0,0.0,0.2880856920791784
17402.85082659102,3.300483,0.2881900881654433,0.0,0.0,0.2881900881654433
17407.85082682851,3.3007979,0.2882944843775567,0.0,0.0,0.2882944843775567
17412.850827066,3.3012309,0.2883988805304918,0.0,0.0,0.2883988805304918
17417.85082730348,3.3016641,0.2885032767184404,0.0,0.0,0.2885032767184404
17422.85082754097,3.302176,0.2886076727018169,0.0,0.0,0.2886076727018169
