specific_capacity,voltage,direction
303.9079488,1.6846627,charge
304.3761964,1.6846894,charge
304.844454,1.6848345,charge
305.3127022,1.684888,charge
305.7809495,1.6849873,charge
306.2491975,1.6850485,charge
306.7174454,1.6851553,charge
307.1856969,1.6853194,charge
307.6539453,1.6854112,charge
308.1221936,1.6855831,charge
308.5904308,1.6855448,charge
309.0586672,1.6857511,charge
309.5269004,1.6857854,charge
309.9951465,1.6859,charge
310.4633988,1.6860031,charge
310.9316529,1.6859152,charge
311.3999022,1.6861521,charge
311.8681479,1.6862552,charge
312.336395,1.686385,charge
312.8046415,1.6864691,charge
313.2728782,1.6865339,charge
313.7411131,1.6866676,charge
314.2093604,1.6868012,charge
314.6776119,1.6869121,charge
315.1458625,1.6869502,charge
315.614109,1.6870266,charge
316.0823534,1.687145,charge
316.5506066,1.6872367,charge
317.0188588,1.6873397,charge
317.48711,1.6874237,charge
317.9553606,1.6876339,charge
318.4236159,1.6876261,charge
318.8918667,1.687714,charge
319.3601157,1.6877788,charge
319.828358,1.6879355,charge
320.296605,1.6879698,charge
320.76486,1.6881493,charge
321.2331096,1.6882753,charge
321.7013667,1.6882181,charge
322.1696309,1.6884738,charge
322.6378936,1.6884663,charge
323.106162,1.6886152,charge
323.5744432,1.6886228,charge
324.0427225,1.6887336,charge
324.5110052,1.688894,charge
324.9792902,1.688875,charge
325.4475728,1.6888673,charge
325.9158456,1.689146,charge
326.3841154,1.6892912,charge
326.8523829,1.6893561,charge
327.3206522,1.6894591,charge
327.7889248,1.6894706,charge
328.2571978,1.6895928,charge
328.7254758,1.6896464,charge
329.1937539,1.6898869,charge
329.6620247,1.6898259,charge
330.130295,1.6899939,charge
330.5985658,1.6899748,charge
331.066842,1.690181,charge
331.5351144,1.6901885,charge
332.0033859,1.690349,charge
332.4716659,1.6904674,charge
332.9399491,1.6905628,charge
333.4082335,1.6906583,charge
333.876527,1.6907881,charge
334.3448125,1.6907537,charge
334.8130899,1.6908226,charge
335.2813755,1.6909831,charge
335.749661,1.6910937,charge
336.2179459,1.6911051,charge
336.6862338,1.6912311,charge
337.1545228,1.6913724,charge
337.6228087,1.6914221,charge
338.0910919,1.6915405,charge
338.5593797,1.6915443,charge
339.0276639,1.6917046,charge
339.4959416,1.6917734,charge
339.9642074,1.6918918,charge
340.4324728,1.6918994,charge
340.9007343,1.6920102,charge
341.3689986,1.6921133,charge
341.837261,1.6922545,charge
342.305527,1.6922852,charge
342.7737844,1.6924112,charge
343.2420366,1.6924722,charge
343.7102956,1.6925753,charge
344.1785527,1.6926632,charge
344.646799,1.6926403,charge
345.1150564,1.6927587,charge
345.5833297,1.6928847,charge
346.0516018,1.6930375,charge
346.5198659,1.6930528,charge
346.9881333,1.6932971,charge
347.4563836,1.6932285,charge
347.9246313,1.6933928,charge
348.3928767,1.6934232,charge
348.8611226,1.6934843,charge
349.3293704,1.6936218,charge
349.7976302,1.693702,charge
350.2659024,1.6937402,charge
350.7341667,1.6938509,charge
351.2024428,1.6938891,charge
351.6707175,1.6939999,charge
352.1389969,1.69408,charge
352.6072726,1.69408,charge
353.0755509,1.6943282,charge
353.5438285,1.6943398,charge
354.0121091,1.6943855,charge
354.4803925,1.6944772,charge
354.9486651,1.6946338,charge
355.4169329,1.6946949,charge
355.8852024,1.6948171,charge
356.3534702,1.6949546,charge
356.8217358,1.6948857,charge
357.2900008,1.694966,charge
357.7582654,1.6951188,charge
358.2265226,1.6951798,charge
358.6947877,1.6952907,charge
359.1630473,1.6952906,charge
359.6313008,1.695302,charge
360.0995527,1.6954777,charge
360.5678061,1.6955847,charge
361.0360687,1.6957068,charge
361.5043288,1.6957833,charge
361.972587,1.6958328,charge
362.4408469,1.6958902,charge
362.9091068,1.6960391,charge
363.3773728,1.696104,charge
363.8456409,1.6960964,charge
364.3139091,1.6962682,charge
364.7821764,1.6962835,charge
365.2504475,1.6963828,charge
365.7187184,1.6964514,charge
366.1869851,1.6965585,charge
366.6552539,1.6966424,charge
367.1235249,1.6966959,charge
367.5917966,1.6968907,charge
368.0600662,1.6968524,charge
368.5283371,1.6969823,charge
368.996602,1.6970741,charge
369.4648641,1.6971543,charge
369.9331258,1.6971465,charge
370.4014015,1.6973146,charge
370.8696807,1.6973604,charge
371.3379649,1.6974406,charge
371.8062518,1.6975666,charge
372.2745342,1.6975971,charge
372.7428203,1.6977195,charge
373.211106,1.6978186,charge
373.6793927,1.6979179,charge
374.1476802,1.6980211,charge
374.6159721,1.6980555,charge
375.0842609,1.6981663,charge
375.5525459,1.6981891,charge
376.0208417,1.6982502,charge
376.4891365,1.6983954,charge
376.9574359,1.6984718,charge
377.4257376,1.698487,charge
377.8940355,1.6986015,charge
378.3623311,1.6985711,charge
378.830617,1.6988078,charge
379.298896,1.6987658,charge
379.7671722,1.6988803,charge
380.2354486,1.698972,charge
380.7037227,1.6990025,charge
381.171994,1.6990484,charge
381.6402671,1.6991936,charge
382.108536,1.6993958,charge
382.5768118,1.6993577,charge
383.0450866,1.699434,charge
383.5133583,1.6994838,charge
383.9816285,1.6995754,charge
384.4499085,1.6996212,charge
384.9181854,1.6998045,charge
385.386461,1.6997205,charge
385.8547308,1.6998847,charge
386.3229993,1.6999382,charge
386.7912706,1.700007,charge
387.2595486,1.7001749,charge
387.7278268,1.7001177,charge
388.1961034,1.7002552,charge
388.6643706,1.7003468,charge
389.1326483,1.7004575,charge
389.6009244,1.7004995,charge
390.0692042,1.7004881,charge
390.5374815,1.7006752,charge
391.0057591,1.7007744,charge
391.4740345,1.7007172,charge
391.9423073,1.7008739,charge
392.410567,1.700912,charge
392.8788246,1.700996,charge
393.3470937,1.7010609,charge
393.815364,1.701248,charge
394.2836406,1.701248,charge
394.7519097,1.7013168,charge
